tipodia|factor_expansion|n_etapas|tviaje|distancia_eucl|distancia_ruta|tiempo_inicio_viaje|tiempo_fin_viaje|mediahora_inicio_viaje|mediahora_fin_viaje|periodo_inicio_viaje|periodo_fin_viaje|tipo_transporte_1|tipo_transporte_2|tipo_transporte_3|tipo_transporte_4|srv_1|srv_2|srv_3|srv_4|paradero_inicio_viaje|paradero_fin_viaje|comuna_inicio_viaje|comuna_fin_viaje|zona_inicio_viaje|zona_fin_viaje|modos|tiempo_subida_1|tiempo_subida_2|tiempo_subida_3|tiempo_subida_4|tiempo_bajada_1|tiempo_bajada_2|tiempo_bajada_3|tiempo_bajada_4|zona_subida_1|zona_subida_2|zona_subida_3|zona_subida_4|zona_bajada_1|zona_bajada_2|zona_bajada_3|zona_bajada_4|paradero_subida_1|paradero_subida_2|paradero_subida_3|paradero_subida_4|paradero_bajada_1|paradero_bajada_2|paradero_bajada_3|paradero_bajada_4|mediahora_bajada_1|mediahora_bajada_2|mediahora_bajada_3|mediahora_bajada_4|periodo_bajada_1|periodo_bajada_2|periodo_bajada_3|periodo_bajada_4|id_tarjeta|id_viaje|netapassinbajada|ultimaetapaconbajada|contrato|mediahora_inicio_viaje_hora|mediahora_fin_viaje_hora|op_1era_etapa|op_2da_etapa|op_3era_etapa|op_4ta_etapa|dt1|dveh_ruta1|dveh_euc1|dt2|dveh_ruta2|dveh_euc2|dt3|dveh_ruta3|dveh_euc3|dveh_ruta4|dveh_euc4|dtfinal|dveh_rutafinal|dveh_eucfinal|tipo_corte_etapa_viaje|proposito|entrada|te0|tv1|tc1|te1|tv2|tc2|te2|tv3|tc3|te3|tv4|egreso|tviaje2|
0|1.4210|2|-|1753.166870|1943.0000|2025-04-21 08:48:04|2025-04-21 08:54:58|17|17|63|63|1|1|-|-|T203 00R|T1121 00I|-|-|T-4-19-SN-40|L-4-4-50-OP|38|38|49|44|1|2025-04-21 08:48:04|2025-04-21 08:51:46|-|-|2025-04-21 08:50:39|2025-04-21 08:54:58|-|-|49|728|-|-|728|44|-|-|T-4-19-SN-40|E-4-19-SN-55|-|-|E-4-19-SN-55|L-4-4-50-OP|-|-|17|17|-|-|63|63|-|-|66184|1|0|1|171|08:30:00|08:30:00|2|35|-|-|16.0312|23856|853|-|2761|1006|-|-|-|-|-|16|26617|1859|SM2H|TRABAJO|-|32|154|10|58|192|-|-|-|-|-|-|-|446|
0|1.5829|1|-|997.433716|1127.0000|2025-04-21 15:34:28|2025-04-21 15:39:01|31|31|66|66|1|-|-|-|T1141 00R|-|-|-|L-4-12-20-PO|E-4-295-OP-5|38|38|44|728|1|2025-04-21 15:34:28|-|-|-|2025-04-21 15:39:01|-|-|-|44|-|-|-|728|-|-|-|L-4-12-20-PO|-|-|-|E-4-295-OP-5|-|-|-|31|-|-|-|66|-|-|-|66184|2|0|1|171|15:30:00|15:30:00|35|-|-|-|-|15427|997|-|-|-|-|-|-|-|-|0|15427|997|UE|HOGAR|-|212|273|-|-|-|-|-|-|-|-|-|-|485|
0|0.0000|1|-|-|0.0000|2025-04-21 17:27:55|-|34|-1|67|-1|2|-|-|-|L1|-|-|-|LOS DOMINICOS|-|3|-1|222|-|2|2025-04-21 17:27:55|-|-|-|-|-|-|-|222|-|-|-|-|-|-|-|LOS DOMINICOS|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|67208|1|1|0|171|17:00:00|-|1|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0|0|0|UE|SINBAJADA|-|-|-|-|-|-|-|-|-|-|-|-|-|-|
0|1.2386|1|-|2903.876221|6240.0000|2025-04-21 09:12:16|2025-04-21 09:38:40|18|19|63|64|2|-|-|-|L1|-|-|-|ESTACION CENTRAL|PLAZA DE ARMAS|16|34|84|276|2|2025-04-21 09:12:16|-|-|-|2025-04-21 09:38:40|-|-|-|84|-|-|-|276|-|-|-|ESTACION CENTRAL|-|-|-|PLAZA DE ARMAS|-|-|-|19|-|-|-|64|-|-|-|70536|1|0|1|171|09:00:00|09:30:00|1|-|-|-|-|-|2903|-|-|-|-|-|-|-|-|0|0|2903|MS_M_M|OTROS|37|64|811|-|-|-|-|-|-|-|-|-|126|1038|
0|1.2689|1|-|10412.960938|11630.0000|2025-04-21 10:49:35|2025-04-21 11:17:20|21|22|64|64|2|-|-|-|L3|-|-|-|PLAZA DE ARMAS|BELLAVISTA DE LA FLORIDA|34|5|276|468|2|2025-04-21 10:49:35|-|-|-|2025-04-21 11:17:20|-|-|-|276|-|-|-|468|-|-|-|PLAZA DE ARMAS|-|-|-|BELLAVISTA DE LA FLORIDA|-|-|-|22|-|-|-|64|-|-|-|70536|2|0|1|171|10:30:00|11:00:00|1|-|-|-|-|-|10412|-|-|-|-|-|-|-|-|0|0|10412|MS_M_M|OTROS|50|78|1051|-|-|-|-|-|-|-|-|-|85|1264|
0|1.2432|1|-|14164.365234|24970.0000|2025-04-21 11:45:44|2025-04-21 12:33:36|23|25|64|65|2|-|-|-|L5|-|-|-|BELLAVISTA DE LA FLORIDA|MONTE TABOR|5|14|468|631|2|2025-04-21 11:45:44|-|-|-|2025-04-21 12:33:36|-|-|-|468|-|-|-|631|-|-|-|BELLAVISTA DE LA FLORIDA|-|-|-|MONTE TABOR|-|-|-|25|-|-|-|65|-|-|-|70536|3|0|1|171|11:30:00|12:30:00|1|-|-|-|-|-|14164|-|-|-|-|-|-|-|-|0|0|14164|MS_M_M|OTROS|50|78|2295|-|-|-|-|-|-|-|-|-|106|2529|
0|1.3087|2|-|16077.175781|20615.0000|2025-04-21 13:42:08|2025-04-21 14:54:18|27|29|65|66|2|1|-|-|L5|T542 00I|-|-|MONTE TABOR|T-15-135-PO-5|14|22|631|188|3|2025-04-21 13:42:08|2025-04-21 14:40:37|-|-|2025-04-21 14:18:40|2025-04-21 14:54:18|-|-|631|178|-|-|178|188|-|-|MONTE TABOR|T-14-131-PO-10|-|-|SALVADOR|T-15-135-PO-5|-|-|28|29|-|-|66|66|-|-|70536|4|0|1|171|13:30:00|14:30:00|1|5|-|-|222.0811|-|12308|-|14913|4165|-|-|-|-|-|222|14913|16473|MS_B_B|OTROS|102|156|1764|185|1404|820|-|-|-|-|-|-|-|4431|
0|1.3432|2|-|1187.798340|1596.0000|2025-04-21 15:13:40|2025-04-21 15:20:56|30|30|66|66|1|1|-|-|T502 00I|T1325 00I|-|-|T-15-135-PO-5|T-15-12-NS-25|22|22|188|189|1|2025-04-21 15:13:40|2025-04-21 15:20:00|-|-|2025-04-21 15:16:44|2025-04-21 15:20:56|-|-|188|189|-|-|189|189|-|-|T-15-135-PO-5|T-15-12-NS-20|-|-|T-15-135-PO-25|T-15-12-NS-25|-|-|30|30|-|-|66|66|-|-|70536|5|0|1|171|15:00:00|15:00:00|5|37|-|-|56.9210|19702|1249|-|21412|318|-|-|-|-|-|56|41114|1567|M3B|OTROS|-|130|184|37|159|55|-|-|-|-|-|-|-|565|
0|1.3175|1|-|1401.647949|1859.0000|2025-04-21 16:03:06|2025-04-21 16:10:38|32|32|66|66|1|-|-|-|T1120 00I|-|-|-|L-17-8-15-OP|E-17-12-NS-20|3|3|208|206|1|2025-04-21 16:03:06|-|-|-|2025-04-21 16:10:38|-|-|-|208|-|-|-|206|-|-|-|L-17-8-15-OP|-|-|-|E-17-12-NS-20|-|-|-|32|-|-|-|66|-|-|-|70536|6|0|1|171|16:00:00|16:00:00|35|-|-|-|-|3100|1401|-|-|-|-|-|-|-|-|0|3100|1401|M15M|OTROS|-|192|451|-|-|-|-|-|-|-|-|-|-|643|
0|1.2826|1|-|9700.786133|10050.0000|2025-04-21 16:30:50|2025-04-21 16:56:32|33|33|67|67|2|-|-|-|L1|-|-|-|ESCUELA MILITAR|ESTACION CENTRAL|3|16|215|84|2|2025-04-21 16:30:50|-|-|-|2025-04-21 16:56:32|-|-|-|215|-|-|-|84|-|-|-|ESCUELA MILITAR|-|-|-|ESTACION CENTRAL|-|-|-|33|-|-|-|67|-|-|-|70536|7|0|1|171|16:30:00|16:30:00|1|-|-|-|-|-|9700|-|-|-|-|-|-|-|-|0|0|9700|UE|HOGAR|37|64|1311|-|-|-|-|-|-|-|-|-|76|1488|
