tipodia|factor_expansion|n_etapas|tviaje|distancia_eucl|distancia_ruta|tiempo_inicio_viaje|tiempo_fin_viaje|mediahora_inicio_viaje|mediahora_fin_viaje|periodo_inicio_viaje|periodo_fin_viaje|tipo_transporte_1|tipo_transporte_2|tipo_transporte_3|tipo_transporte_4|srv_1|srv_2|srv_3|srv_4|paradero_inicio_viaje|paradero_fin_viaje|comuna_inicio_viaje|comuna_fin_viaje|zona_inicio_viaje|zona_fin_viaje|modos|tiempo_subida_1|tiempo_subida_2|tiempo_subida_3|tiempo_subida_4|tiempo_bajada_1|tiempo_bajada_2|tiempo_bajada_3|tiempo_bajada_4|zona_subida_1|zona_subida_2|zona_subida_3|zona_subida_4|zona_bajada_1|zona_bajada_2|zona_bajada_3|zona_bajada_4|paradero_subida_1|paradero_subida_2|paradero_subida_3|paradero_subida_4|paradero_bajada_1|paradero_bajada_2|paradero_bajada_3|paradero_bajada_4|mediahora_bajada_1|mediahora_bajada_2|mediahora_bajada_3|mediahora_bajada_4|periodo_bajada_1|periodo_bajada_2|periodo_bajada_3|periodo_bajada_4|id_tarjeta|id_viaje|netapassinbajada|ultimaetapaconbajada|contrato|mediahora_inicio_viaje_hora|mediahora_fin_viaje_hora|op_1era_etapa|op_2da_etapa|op_3era_etapa|op_4ta_etapa|dt1|dveh_ruta1|dveh_euc1|dt2|dveh_ruta2|dveh_euc2|dt3|dveh_ruta3|dveh_euc3|dveh_ruta4|dveh_euc4|dtfinal|dveh_rutafinal|dveh_eucfinal|tipo_corte_etapa_viaje|proposito|entrada|te0|tv1|tc1|te1|tv2|tc2|te2|tv3|tc3|te3|tv4|egreso|tviaje2|
0|0.0000|1|-|-|0.0000|2025-04-25 14:25:27|-|28|-1|66|-1|1|-|-|-|T229 00R|-|-|-|L-24-1-5-SN|-|-1|-1|352|-|1|2025-04-25 14:25:27|-|-|-|-|-|-|-|352|-|-|-|-|-|-|-|L-24-1-5-SN|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|1928|1|1|0|171|14:00:00|-|2|-|-|-|-|6283|-|-|-|-|-|-|-|-|-|0|6283|0|UE|SINBAJADA|-|-|-|-|-|-|-|-|-|-|-|-|-|-|
0|0.0000|1|-|-|0.0000|2025-04-25 12:48:27|-|25|-1|65|-1|1|-|-|-|T310 00R|-|-|-|L-13-74-35-OP|-|-1|-1|549|-|1|2025-04-25 12:48:27|-|-|-|-|-|-|-|549|-|-|-|-|-|-|-|L-13-74-35-OP|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|2440|1|1|0|171|12:30:00|-|16|-|-|-|-|4073|-|-|-|-|-|-|-|-|-|0|4073|0|UE|SINBAJADA|-|-|-|-|-|-|-|-|-|-|-|-|-|-|
0|0.0000|1|-|-|0.0000|2025-04-25 17:07:00|-|34|-1|67|-1|3|-|-|-|-|-|-|-|I-26-228-SN-25|-|41|-1|380|-|1|2025-04-25 17:07:00|-|-|-|-|-|-|-|380|-|-|-|-|-|-|-|I-26-228-SN-25|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|4744|1|1|0|171|17:00:00|-|4|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0|0|0|UE|SINBAJADA|-|-|-|-|-|-|-|-|-|-|-|-|-|-|
0|0.0000|1|-|-|0.0000|2025-04-25 18:03:20|-|36|-1|67|-1|1|-|-|-|T501 00R|-|-|-|T-17-116-OP-30|-|3|-1|224|-|1|2025-04-25 18:03:20|-|-|-|-|-|-|-|224|-|-|-|-|-|-|-|T-17-116-OP-30|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|12424|1|1|0|102|18:00:00|-|5|-|-|-|-|5380|-|-|-|-|-|-|-|-|-|0|5380|0|UE|SINBAJADA|-|-|-|-|-|-|-|-|-|-|-|-|-|-|
0|0.0000|1|-|-|0.0000|2025-04-25 08:03:55|-|16|-1|63|-1|2|-|-|-|L1|-|-|-|UNION LATINO AMERICANA|-|34|-1|280|-|2|2025-04-25 08:03:55|-|-|-|-|-|-|-|280|-|-|-|-|-|-|-|UNION LATINO AMERICANA|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|14984|1|1|0|171|08:00:00|-|1|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0|0|0|UE|SINBAJADA|-|-|-|-|-|-|-|-|-|-|-|-|-|-|
0|0.0000|1|-|-|0.0000|2025-04-25 16:08:56|-|32|-1|66|-1|2|-|-|-|L3|-|-|-|LOS LIBERTADORES|-|20|-1|557|-|2|2025-04-25 16:08:56|-|-|-|-|-|-|-|557|-|-|-|-|-|-|-|LOS LIBERTADORES|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|16008|1|1|0|102|16:00:00|-|1|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0|0|0|UE|SINBAJADA|-|-|-|-|-|-|-|-|-|-|-|-|-|-|
0|1.4258|1|-|16108.652344|21459.0000|2025-04-25 09:01:40|2025-04-25 10:09:50|18|20|63|64|3|-|-|-|T1229 00I|-|-|-|E-20-290-OP-10|L-16-21-53-PO|34|2|307|203|1|2025-04-25 09:04:53|-|-|-|2025-04-25 10:09:50|-|-|-|307|-|-|-|203|-|-|-|E-20-290-OP-10|-|-|-|L-16-21-53-PO|-|-|-|20|-|-|-|64|-|-|-|66184|1|0|1|171|09:00:00|10:00:00|36|-|-|-|-|126|16108|-|-|-|-|-|-|-|-|0|126|16108|SM2H|TRABAJO|-|193|3897|-|-|-|-|-|-|-|-|-|-|4090|
0|1.5553|1|-|15855.358398|16758.0000|2025-04-25 20:12:31|2025-04-25 21:01:23|40|42|68|69|1|-|-|-|T1229 00R|-|-|-|T-16-136-OP-10|E-20-290-OP-10|2|34|204|307|1|2025-04-25 20:12:31|-|-|-|2025-04-25 21:01:23|-|-|-|204|-|-|-|307|-|-|-|T-16-136-OP-10|-|-|-|E-20-290-OP-10|-|-|-|42|-|-|-|69|-|-|-|66184|2|0|1|171|20:00:00|21:00:00|36|-|-|-|-|626|15855|-|-|-|-|-|-|-|-|0|626|15855|UE|HOGAR|-|454|2932|-|-|-|-|-|-|-|-|-|-|3386|
0|1.2516|1|-|16225.879883|19820.0000|2025-04-25 07:40:29|2025-04-25 08:05:52|15|16|62|63|2|-|-|-|L4|-|-|-|LOS QUILLAYES|ESCUELA MILITAR|5|3|489|215|2|2025-04-25 07:40:29|-|-|-|2025-04-25 08:05:52|-|-|-|489|-|-|-|215|-|-|-|LOS QUILLAYES|-|-|-|ESCUELA MILITAR|-|-|-|16|-|-|-|63|-|-|-|67208|1|0|1|171|07:30:00|08:00:00|1|-|-|-|-|-|16225|-|-|-|-|-|-|-|-|0|0|16225|M3B|OTROS|42|144|2059|-|-|-|-|-|-|-|-|-|76|2321|
0|1.1681|1|-|8044.608887|8304.0000|2025-04-25 08:22:07|2025-04-25 08:57:42|16|17|63|63|3|-|-|-|T1119 00I|-|-|-|E-17-140-PO-7|L-17-35-10-PO|3|3|215|212|1|2025-04-25 08:22:22|-|-|-|2025-04-25 08:57:42|-|-|-|215|-|-|-|212|-|-|-|E-17-140-PO-7|-|-|-|L-17-35-10-PO|-|-|-|17|-|-|-|63|-|-|-|67208|2|0|1|171|08:00:00|08:30:00|37|-|-|-|-|540|8044|-|-|-|-|-|-|-|-|0|540|8044|SM2H|TRABAJO|-|15|2119|-|-|-|-|-|-|-|-|-|-|2134|
