tipodia|factor_expansion|n_etapas|tviaje|distancia_eucl|distancia_ruta|tiempo_inicio_viaje|tiempo_fin_viaje|mediahora_inicio_viaje|mediahora_fin_viaje|periodo_inicio_viaje|periodo_fin_viaje|tipo_transporte_1|tipo_transporte_2|tipo_transporte_3|tipo_transporte_4|srv_1|srv_2|srv_3|srv_4|paradero_inicio_viaje|paradero_fin_viaje|comuna_inicio_viaje|comuna_fin_viaje|zona_inicio_viaje|zona_fin_viaje|modos|tiempo_subida_1|tiempo_subida_2|tiempo_subida_3|tiempo_subida_4|tiempo_bajada_1|tiempo_bajada_2|tiempo_bajada_3|tiempo_bajada_4|zona_subida_1|zona_subida_2|zona_subida_3|zona_subida_4|zona_bajada_1|zona_bajada_2|zona_bajada_3|zona_bajada_4|paradero_subida_1|paradero_subida_2|paradero_subida_3|paradero_subida_4|paradero_bajada_1|paradero_bajada_2|paradero_bajada_3|paradero_bajada_4|mediahora_bajada_1|mediahora_bajada_2|mediahora_bajada_3|mediahora_bajada_4|periodo_bajada_1|periodo_bajada_2|periodo_bajada_3|periodo_bajada_4|id_tarjeta|id_viaje|netapassinbajada|ultimaetapaconbajada|contrato|mediahora_inicio_viaje_hora|mediahora_fin_viaje_hora|op_1era_etapa|op_2da_etapa|op_3era_etapa|op_4ta_etapa|dt1|dveh_ruta1|dveh_euc1|dt2|dveh_ruta2|dveh_euc2|dt3|dveh_ruta3|dveh_euc3|dveh_ruta4|dveh_euc4|dtfinal|dveh_rutafinal|dveh_eucfinal|tipo_corte_etapa_viaje|proposito|entrada|te0|tv1|tc1|te1|tv2|tc2|te2|tv3|tc3|te3|tv4|egreso|tviaje2|
0|0.0000|1|-|-|0.0000|2025-04-22 18:18:08|-|36|-1|67|-1|1|-|-|-|T302 00R|-|-|-|L-24-1-5-SN|-|-1|-1|352|-|1|2025-04-22 18:18:08|-|-|-|-|-|-|-|352|-|-|-|-|-|-|-|L-24-1-5-SN|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|1928|1|1|0|171|18:00:00|-|16|-|-|-|-|6418|-|-|-|-|-|-|-|-|-|0|6418|0|UE|SINBAJADA|-|-|-|-|-|-|-|-|-|-|-|-|-|-|
0|0.0000|1|-|-|0.0000|2025-04-22 08:28:24|-|16|-1|63|-1|1|-|-|-|T310 00I|-|-|-|L-13-74-5-PO|-|-1|-1|549|-|1|2025-04-22 08:28:24|-|-|-|-|-|-|-|549|-|-|-|-|-|-|-|L-13-74-5-PO|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|2440|1|1|0|171|08:00:00|-|16|-|-|-|-|11851|-|-|-|-|-|-|-|-|-|0|11851|0|UE|SINBAJADA|-|-|-|-|-|-|-|-|-|-|-|-|-|-|
0|0.0000|2|-|-|0.0000|2025-04-22 21:22:46|-|42|-1|69|-1|2|1|-|-|L3|T504 00R|-|-|PLAZA EGANA|-|24|-1|257|-|3|2025-04-22 21:22:46|2025-04-22 21:35:38|-|-|2025-04-22 21:33:20|-|-|-|257|186|-|-|224|-|-|-|PLAZA EGANA|E-14-116-OP-3|-|-|FRANCISCO BILBAO|-|-|-|43|-|-|-|69|-|-|-|12424|1|1|0|102|21:00:00|-|1|5|-|-|98.2904|-|2741|-|8277|-|-|-|-|-|-|98|8277|2741|UE|SINBAJADA|-|-|-|-|-|-|-|-|-|-|-|-|-|-|
0|1.2861|3|-|14649.939453|26270.0000|2025-04-22 07:58:23|2025-04-22 11:00:09|15|22|62|64|1|1|3|-|T1121 00R|T1016 00I|T1229 00I|-|L-4-4-45-PO|L-16-21-53-PO|38|2|43|203|1|2025-04-22 07:58:23|2025-04-22 08:37:40|2025-04-22 09:00:00|-|2025-04-22 08:08:17|2025-04-22 08:50:46|2025-04-22 11:00:09|-|43|49|307|-|728|307|203|-|L-4-4-45-PO|L-4-10-60-NS|E-20-290-OP-10|-|E-4-19-SN-55|E-20-199-NS-2|L-16-21-53-PO|-|16|17|22|-|63|63|64|-|66184|1|0|1|171|07:30:00|11:00:00|35|34|36|-|854.4531|13884|1070|131.4001|7607|2502|-|126|16064|-|-|985|21617|19636|SM2H|TRABAJO|-|676|594|569|1194|786|87|467|7209|-|-|-|-|-|
0|1.4686|2|-|3159.421631|4927.0000|2025-04-22 18:58:53|2025-04-22 19:21:59|37|38|68|68|1|1|-|-|T1021 00R|T1119 00I|-|-|T-16-136-OP-10|L-16-14-45-SN|2|2|204|627|1|2025-04-22 18:58:53|2025-04-22 19:09:05|-|-|2025-04-22 19:05:07|2025-04-22 19:21:59|-|-|204|212|-|-|204|627|-|-|T-16-136-OP-10|L-17-35-10-PO|-|-|T-16-136-OP-37|L-16-14-45-SN|-|-|38|38|-|-|68|68|-|-|66184|2|0|1|171|18:30:00|19:00:00|34|35|-|-|31.3847|7635|1643|-|8670|2916|-|-|-|-|-|31|16305|4559|M3B|TRABAJO|-|183|373|20|219|774|-|-|-|-|-|-|-|1569|
0|0.0000|2|-|-|0.0000|2025-04-22 22:50:25|-|45|-1|69|-1|1|1|-|-|T1109 00I|T502 00R|-|-|L-16-14-40-NS|-|2|-1|627|-|1|2025-04-22 22:50:25|2025-04-22 23:07:53|-|-|-|-|-|-|627|204|-|-|-|-|-|-|L-16-14-40-NS|L-16-14-140-NS|-|-|-|-|-|-|-|-|-|-|-|-|-|-|66184|3|2|0|171|22:30:00|-|35|5|-|-|-|28917|-|-|509|-|-|-|-|-|-|0|29426|0|UE|SINBAJADA|-|-|-|-|-|-|-|-|-|-|-|-|-|-|
0|1.2347|2|-|11669.310547|16552.0000|2025-04-22 08:04:36|2025-04-22 09:00:40|16|18|63|63|2|3|-|-|L4|T1021 00I|-|-|LOS ORIENTALES|L-17-35-15-PO|4|3|242|212|3|2025-04-22 08:04:36|2025-04-22 08:29:33|-|-|2025-04-22 08:22:24|2025-04-22 09:00:40|-|-|242|215|-|-|215|212|-|-|LOS ORIENTALES|E-17-140-PO-7|-|-|ESCUELA MILITAR|L-17-35-15-PO|-|-|16|18|-|-|63|63|-|-|67208|1|0|1|171|08:00:00|09:00:00|1|37|-|-|226.7532|-|5429|-|2787|8061|-|-|-|-|-|226|2787|13490|SM2H|TRABAJO|33|150|1057|227|63|1867|-|-|-|-|-|-|-|3397|
0|1.4798|2|-|11680.959961|15402.0000|2025-04-22 17:13:52|2025-04-22 18:10:40|34|36|67|67|1|2|-|-|T1105 00I|L4|-|-|T-16-136-OP-35|LOS ORIENTALES|2|4|204|242|3|2025-04-22 17:13:52|2025-04-22 18:04:00|-|-|2025-04-22 18:00:14|2025-04-22 18:10:40|-|-|204|224|-|-|224|242|-|-|T-16-136-OP-35|FRANCISCO BILBAO|-|-|E-14-170-SN-10|LOS ORIENTALES|-|-|36|36|-|-|67|67|-|-|67208|2|0|1|171|17:00:00|18:00:00|35|1|-|-|30.6105|1804|9535|-|-|3579|-|-|-|-|-|30|1804|13114|UE|HOGAR|-|226|2782|259|75|367|-|-|-|-|-|-|128|3837|
0|0.0000|1|-|-|0.0000|2025-04-22 18:33:22|-|37|-1|68|-1|1|-|-|-|T506 E1 00R|-|-|-|T-18-156-OP-48|-|-1|-1|239|-|1|2025-04-22 18:33:22|-|-|-|-|-|-|-|239|-|-|-|-|-|-|-|T-18-156-OP-48|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|67464|1|1|0|171|18:30:00|-|5|-|-|-|-|7544|-|-|-|-|-|-|-|-|-|0|7544|0|UE|SINBAJADA|-|-|-|-|-|-|-|-|-|-|-|-|-|-|
0|1.2986|1|-|9263.314453|9400.0000|2025-04-22 10:43:21|2025-04-22 11:08:48|21|22|64|64|2|-|-|-|L1|-|-|-|ESTACION CENTRAL|ALCANTARA|16|3|84|214|2|2025-04-22 10:43:21|-|-|-|2025-04-22 11:08:48|-|-|-|84|-|-|-|214|-|-|-|ESTACION CENTRAL|-|-|-|ALCANTARA|-|-|-|22|-|-|-|64|-|-|-|70536|1|0|1|171|10:30:00|11:00:00|1|-|-|-|-|-|9263|-|-|-|-|-|-|-|-|0|0|9263|MS_M_M|OTROS|37|64|1416|-|-|-|-|-|-|-|-|-|76|1593|
