tipodia|factor_expansion|n_etapas|tviaje|distancia_eucl|distancia_ruta|tiempo_inicio_viaje|tiempo_fin_viaje|mediahora_inicio_viaje|mediahora_fin_viaje|periodo_inicio_viaje|periodo_fin_viaje|tipo_transporte_1|tipo_transporte_2|tipo_transporte_3|tipo_transporte_4|srv_1|srv_2|srv_3|srv_4|paradero_inicio_viaje|paradero_fin_viaje|comuna_inicio_viaje|comuna_fin_viaje|zona_inicio_viaje|zona_fin_viaje|modos|tiempo_subida_1|tiempo_subida_2|tiempo_subida_3|tiempo_subida_4|tiempo_bajada_1|tiempo_bajada_2|tiempo_bajada_3|tiempo_bajada_4|zona_subida_1|zona_subida_2|zona_subida_3|zona_subida_4|zona_bajada_1|zona_bajada_2|zona_bajada_3|zona_bajada_4|paradero_subida_1|paradero_subida_2|paradero_subida_3|paradero_subida_4|paradero_bajada_1|paradero_bajada_2|paradero_bajada_3|paradero_bajada_4|mediahora_bajada_1|mediahora_bajada_2|mediahora_bajada_3|mediahora_bajada_4|periodo_bajada_1|periodo_bajada_2|periodo_bajada_3|periodo_bajada_4|id_tarjeta|id_viaje|netapassinbajada|ultimaetapaconbajada|contrato|mediahora_inicio_viaje_hora|mediahora_fin_viaje_hora|op_1era_etapa|op_2da_etapa|op_3era_etapa|op_4ta_etapa|dt1|dveh_ruta1|dveh_euc1|dt2|dveh_ruta2|dveh_euc2|dt3|dveh_ruta3|dveh_euc3|dveh_ruta4|dveh_euc4|dtfinal|dveh_rutafinal|dveh_eucfinal|tipo_corte_etapa_viaje|proposito|entrada|te0|tv1|tc1|te1|tv2|tc2|te2|tv3|tc3|te3|tv4|egreso|tviaje2|
2|0.0000|1|-|-|0.0000|2025-04-27 14:52:34|-|29|-1|84|-1|2|-|-|-|L5|-|-|-|LAGUNA SUR|-|15|-1|704|-|2|2025-04-27 14:52:34|-|-|-|-|-|-|-|704|-|-|-|-|-|-|-|LAGUNA SUR|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|77192|1|1|0|171|14:30:00|-|1|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0|0|0|UE|SINBAJADA|-|-|-|-|-|-|-|-|-|-|-|-|-|-|
2|0.0000|2|-|-|0.0000|2025-04-27 16:19:04|-|32|-1|84|-1|1|2|-|-|T836 00I|L3|-|-|L-3-14-5-NS|-|21|-1|732|-|3|2025-04-27 16:19:04|2025-04-27 16:25:34|-|-|2025-04-27 16:24:46|-|-|-|732|557|-|-|557|-|-|-|L-3-14-5-NS|LOS LIBERTADORES|-|-|I-6-454-PO-2|-|-|-|32|-|-|-|84|-|-|-|140680|1|1|0|171|16:00:00|-|32|1|-|-|25.9615|1836|916|-|-|-|-|-|-|-|-|25|1836|916|UE|SINBAJADA|-|-|-|-|-|-|-|-|-|-|-|-|-|-|
2|0.0000|1|-|-|0.0000|2025-04-27 22:26:37|-|44|-1|86|-1|1|-|-|-|T440 00R|-|-|-|I-26-228-SN-25|-|41|-1|380|-|1|2025-04-27 22:26:37|-|-|-|-|-|-|-|380|-|-|-|-|-|-|-|I-26-228-SN-25|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|141960|1|1|0|171|22:00:00|-|4|-|-|-|-|94|-|-|-|-|-|-|-|-|-|0|94|0|UE|SINBAJADA|-|-|-|-|-|-|-|-|-|-|-|-|-|-|
2|0.0000|1|-|-|0.0000|2025-04-27 09:11:02|-|18|-1|83|-1|1|-|-|-|T506 00R|-|-|-|L-32-11-45-NS|-|-1|-1|765|-|1|2025-04-27 09:11:02|-|-|-|-|-|-|-|765|-|-|-|-|-|-|-|L-32-11-45-NS|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|143496|1|1|0|171|09:00:00|-|5|-|-|-|-|26|-|-|-|-|-|-|-|-|-|0|26|0|SM2H|SINBAJADA|-|-|-|-|-|-|-|-|-|-|-|-|-|-|
2|0.0000|1|-|-|0.0000|2025-04-27 20:33:31|-|41|-1|85|-1|2|-|-|-|L5|-|-|-|MIRADOR|-|5|-1|467|-|2|2025-04-27 20:33:31|-|-|-|-|-|-|-|467|-|-|-|-|-|-|-|MIRADOR|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|143496|2|1|0|171|20:30:00|-|1|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0|0|0|MS_M_M|SINBAJADA|-|-|-|-|-|-|-|-|-|-|-|-|-|-|
2|1.5787|2|-|8431.438477|13341.0000|2025-04-27 20:34:10|2025-04-27 21:20:57|41|42|85|86|2|1|-|-|L5|T519 00I|-|-|MIRADOR|L-32-16-60-PO|5|-1|467|765|3|2025-04-27 20:34:10|2025-04-27 21:04:40|-|-|2025-04-27 20:50:08|2025-04-27 21:20:57|-|-|467|443|-|-|458|765|-|-|MIRADOR|E-18-156-PO-80|-|-|GRECIA|L-32-16-60-PO|-|-|41|42|-|-|85|86|-|-|143496|3|0|1|171|20:30:00|21:00:00|1|5|-|-|59.8164|-|5648|-|10119|4941|-|-|-|-|-|59|10119|10589|UE|HOGAR|37|78|1068|112|572|976|-|-|-|-|-|-|-|2843|
2|0.0000|1|-|-|0.0000|2025-04-27 15:42:13|-|31|-1|84|-1|1|-|-|-|T381 00R|-|-|-|T-13-94-PO-30|-|-1|-1|166|-|1|2025-04-27 15:42:13|-|-|-|-|-|-|-|166|-|-|-|-|-|-|-|T-13-94-PO-30|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|143752|1|1|0|102|15:30:00|-|16|-|-|-|-|2901|-|-|-|-|-|-|-|-|-|0|2901|0|UE|SINBAJADA|-|-|-|-|-|-|-|-|-|-|-|-|-|-|
2|1.7831|1|-|7110.351562|8838.0000|2025-04-27 13:25:22|2025-04-27 13:49:18|26|27|84|84|1|-|-|-|T549 00R|-|-|-|T-12-55-SN-50|T-20-68-SN-23|32|34|151|272|1|2025-04-27 13:25:22|-|-|-|2025-04-27 13:49:18|-|-|-|151|-|-|-|272|-|-|-|T-12-55-SN-50|-|-|-|T-20-68-SN-23|-|-|-|27|-|-|-|84|-|-|-|199560|1|0|1|171|13:00:00|13:30:00|5|-|-|-|-|10951|7110|-|-|-|-|-|-|-|-|0|10951|7110|RD|OTROS|-|295|1435|-|-|-|-|-|-|-|-|-|-|1730|
2|1.5107|1|-|7130.118652|7780.0000|2025-04-27 14:38:38|2025-04-27 14:58:16|29|29|84|84|1|-|-|-|T549 06I|-|-|-|T-20-68-NS-5|T-12-55-NS-45|34|32|272|151|1|2025-04-27 14:38:38|-|-|-|2025-04-27 14:58:16|-|-|-|272|-|-|-|151|-|-|-|T-20-68-NS-5|-|-|-|T-12-55-NS-45|-|-|-|29|-|-|-|84|-|-|-|199560|2|0|1|171|14:30:00|14:30:00|5|-|-|-|-|12718|7130|-|-|-|-|-|-|-|-|0|12718|7130|UE|HOGAR|-|0|1177|-|-|-|-|-|-|-|-|-|-|1177|
2|0.0000|1|-|-|0.0000|2025-04-27 11:43:25|-|23|-1|83|-1|2|-|-|-|L1|-|-|-|ESCUELA MILITAR|-|3|-1|215|-|2|2025-04-27 11:43:25|-|-|-|-|-|-|-|215|-|-|-|-|-|-|-|ESCUELA MILITAR|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|201864|1|1|0|171|11:30:00|-|1|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0|0|0|UE|SINBAJADA|-|-|-|-|-|-|-|-|-|-|-|-|-|-|
2|0.0000|1|-|-|0.0000|2025-04-27 15:35:36|-|31|-1|84|-1|2|-|-|-|L4|-|-|-|SAN JOSE DE LA ESTRELLA|-|5|-1|620|-|2|2025-04-27 15:35:36|-|-|-|-|-|-|-|620|-|-|-|-|-|-|-|SAN JOSE DE LA ESTRELLA|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|205192|1|1|0|102|15:30:00|-|1|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0|0|0|UE|SINBAJADA|-|-|-|-|-|-|-|-|-|-|-|-|-|-|
2|0.0000|2|-|-|0.0000|2025-04-27 21:19:05|-|42|-1|86|-1|1|1|-|-|T504 00I|T1004 00I|-|-|T-14-114-PO-5|-|23|-1|182|-|1|2025-04-27 21:19:05|2025-04-27 21:30:02|-|-|2025-04-27 21:25:17|-|-|-|182|184|-|-|184|-|-|-|T-14-114-PO-5|T-14-123-NS-25|-|-|T-14-116-PO-30|-|-|-|42|-|-|-|86|-|-|-|263816|1|1|0|171|21:00:00|-|5|34|-|-|23.0868|20295|1964|-|2136|-|-|-|-|-|-|23|22431|1964|UE|SINBAJADA|-|-|-|-|-|-|-|-|-|-|-|-|-|-|
2|1.5227|2|-|16286.004883|24212.0000|2025-04-27 09:08:03|2025-04-27 09:59:23|18|19|83|83|1|1|-|-|T1335 00I|T1114 00I|-|-|T-6-330-NS-5|L-16-10-90-SN|20|2|829|202|1|2025-04-27 09:08:03|2025-04-27 09:45:17|-|-|2025-04-27 09:37:44|2025-04-27 09:59:23|-|-|829|193|-|-|196|202|-|-|T-6-330-NS-5|L-15-13-5-SN|-|-|T-15-135-PO-55|L-16-10-90-SN|-|-|19|19|-|-|83|83|-|-|278152|1|0|1|171|09:00:00|09:30:00|37|35|-|-|227.4951|5726|13481|-|3860|4814|-|-|-|-|-|227|9586|18295|SM2H|TRABAJO|-|719|1780|151|303|846|-|-|-|-|-|-|-|3799|
2|0.0000|1|-|-|0.0000|2025-04-27 19:56:36|-|39|-1|85|-1|1|-|-|-|T1114 00R|-|-|-|L-16-10-95-NS|-|2|-1|202|-|1|2025-04-27 19:56:36|-|-|-|-|-|-|-|202|-|-|-|-|-|-|-|L-16-10-95-NS|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|278152|2|1|0|171|19:30:00|-|35|-|-|-|-|3597|-|-|-|-|-|-|-|-|-|0|3597|0|UE|SINBAJADA|-|-|-|-|-|-|-|-|-|-|-|-|-|-|
2|0.0000|1|-|-|0.0000|2025-04-27 14:10:33|-|28|-1|84|-1|2|-|-|-|L4|-|-|-|TOBALABA|-|23|-1|206|-|2|2025-04-27 14:10:33|-|-|-|-|-|-|-|206|-|-|-|-|-|-|-|TOBALABA|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|332424|1|1|0|102|14:00:00|-|1|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0|0|0|UE|SINBAJADA|-|-|-|-|-|-|-|-|-|-|-|-|-|-|
2|0.0000|3|-|-|0.0000|2025-04-27 09:23:15|-|18|-1|83|-1|1|2|1|-|T1044 10I|L4|T576 00I|-|L-34-111-5-SN|-|6|-1|346|-|3|2025-04-27 09:23:15|2025-04-27 09:39:08|2025-04-27 10:31:03|-|2025-04-27 09:36:08|2025-04-27 10:05:20|-|-|346|658|214|-|780|214|-|-|L-34-111-5-SN|HOSPITAL SOTERO DEL RIO|T-17-140-PO-6|-|T-34-270-SN-45|ALCANTARA|-|-|19|20|-|-|83|83|-|-|332680|1|1|0|171|09:00:00|-|34|1|5|-|36.7967|623|2939|138.1014|-|17887|-|21782|-|-|-|174|22405|20826|SM2H|SINBAJADA|-|-|-|-|-|-|-|-|-|-|-|-|-|-|
