tipodia|factor_expansion|n_etapas|tviaje|distancia_eucl|distancia_ruta|tiempo_inicio_viaje|tiempo_fin_viaje|mediahora_inicio_viaje|mediahora_fin_viaje|periodo_inicio_viaje|periodo_fin_viaje|tipo_transporte_1|tipo_transporte_2|tipo_transporte_3|tipo_transporte_4|srv_1|srv_2|srv_3|srv_4|paradero_inicio_viaje|paradero_fin_viaje|comuna_inicio_viaje|comuna_fin_viaje|zona_inicio_viaje|zona_fin_viaje|modos|tiempo_subida_1|tiempo_subida_2|tiempo_subida_3|tiempo_subida_4|tiempo_bajada_1|tiempo_bajada_2|tiempo_bajada_3|tiempo_bajada_4|zona_subida_1|zona_subida_2|zona_subida_3|zona_subida_4|zona_bajada_1|zona_bajada_2|zona_bajada_3|zona_bajada_4|paradero_subida_1|paradero_subida_2|paradero_subida_3|paradero_subida_4|paradero_bajada_1|paradero_bajada_2|paradero_bajada_3|paradero_bajada_4|mediahora_bajada_1|mediahora_bajada_2|mediahora_bajada_3|mediahora_bajada_4|periodo_bajada_1|periodo_bajada_2|periodo_bajada_3|periodo_bajada_4|id_tarjeta|id_viaje|netapassinbajada|ultimaetapaconbajada|contrato|mediahora_inicio_viaje_hora|mediahora_fin_viaje_hora|op_1era_etapa|op_2da_etapa|op_3era_etapa|op_4ta_etapa|dt1|dveh_ruta1|dveh_euc1|dt2|dveh_ruta2|dveh_euc2|dt3|dveh_ruta3|dveh_euc3|dveh_ruta4|dveh_euc4|dtfinal|dveh_rutafinal|dveh_eucfinal|tipo_corte_etapa_viaje|proposito|entrada|te0|tv1|tc1|te1|tv2|tc2|te2|tv3|tc3|te3|tv4|egreso|tviaje2|
1|1.5001|1|-|5265.558105|5460.0000|2025-04-26 12:10:51|2025-04-26 12:26:40|24|24|76|76|2|-|-|-|L1|-|-|-|ESTACION CENTRAL|SALVADOR|16|23|84|178|2|2025-04-26 12:10:51|-|-|-|2025-04-26 12:26:40|-|-|-|84|-|-|-|178|-|-|-|ESTACION CENTRAL|-|-|-|SALVADOR|-|-|-|24|-|-|-|76|-|-|-|2440|1|0|1|171|12:00:00|12:00:00|1|-|-|-|-|-|5265|-|-|-|-|-|-|-|-|0|0|5265|M3B|OTROS|37|64|837|-|-|-|-|-|-|-|-|-|37|975|
1|1.4209|1|-|2301.129395|2341.0000|2025-04-26 12:59:44|2025-04-26 13:08:31|25|26|76|76|1|-|-|-|T503 00I|-|-|-|T-14-128-PO-25|T-14-110-PO-70|23|23|178|179|1|2025-04-26 12:59:44|-|-|-|2025-04-26 13:08:31|-|-|-|178|-|-|-|179|-|-|-|T-14-128-PO-25|-|-|-|T-14-110-PO-70|-|-|-|26|-|-|-|76|-|-|-|2440|2|0|1|171|12:30:00|13:00:00|5|-|-|-|-|17177|2301|-|-|-|-|-|-|-|-|0|17177|2301|M3B|OTROS|-|12|526|-|-|-|-|-|-|-|-|-|-|538|
1|1.6677|1|-|7751.471191|7947.0000|2025-04-26 16:20:28|2025-04-26 16:48:56|32|33|77|77|1|-|-|-|F71 00R|-|-|-|T-14-135-OP-10|E-7-53-OP-5|23|-1|176|78|1|2025-04-26 16:20:28|-|-|-|2025-04-26 16:48:56|-|-|-|176|-|-|-|78|-|-|-|T-14-135-OP-10|-|-|-|E-7-53-OP-5|-|-|-|33|-|-|-|77|-|-|-|2440|3|0|1|171|16:00:00|16:30:00|9|-|-|-|-|12195|7751|-|-|-|-|-|-|-|-|0|12195|7751|UE|HOGAR|-|160|1708|-|-|-|-|-|-|-|-|-|-|1868|
1|1.4434|2|-|12924.939453|19117.0000|2025-04-26 10:19:53|2025-04-26 11:26:44|20|22|75|75|2|3|-|-|L1|T925 00I|-|-|ESTACION CENTRAL|L-22-30-20-PO|16|28|84|336|3|2025-04-26 10:19:53|2025-04-26 11:02:33|-|-|2025-04-26 10:53:52|2025-04-26 11:26:44|-|-|84|380|-|-|380|336|-|-|ESTACION CENTRAL|I-26-228-SN-25|-|-|LA CISTERNA|L-22-30-20-PO|-|-|21|22|-|-|75|75|-|-|70536|1|0|1|171|10:00:00|11:00:00|1|33|-|-|96.8969|-|9721|-|30|4760|-|-|-|-|-|96|30|14481|SM2H|TRABAJO|37|64|1456|174|866|1450|-|-|-|-|-|-|-|4047|
1|2.2433|2|-|12918.799805|28968.0000|2025-04-26 18:42:28|2025-04-26 19:44:00|37|39|77|78|1|2|-|-|T366 00I|L4A|-|-|L-22-30-25-OP|ESTACION CENTRAL|28|16|336|84|3|2025-04-26 18:42:28|2025-04-26 18:57:26|-|-|2025-04-26 18:53:35|2025-04-26 19:44:00|-|-|336|353|-|-|334|84|-|-|L-22-30-25-OP|SANTA ROSA|-|-|E-22-12-OP-35|ESTACION CENTRAL|-|-|37|39|-|-|77|78|-|-|70536|2|0|1|171|18:30:00|19:30:00|16|1|-|-|62.1289|9545|2135|-|-|10981|-|-|-|-|-|62|9545|13116|UE|HOGAR|-|792|667|268|163|2272|-|-|-|-|-|-|76|4238|
1|0.0000|2|-|-|0.0000|2025-04-26 11:12:00|-|22|-1|75|-1|1|4|-|-|T805 00I|METROTREN|-|-|T-29-238-NS-3|-|31|-1|419|-|5|2025-04-26 11:12:00|2025-04-26 11:22:37|-|-|2025-04-26 11:13:06|-|-|-|419|411|-|-|419|-|-|-|T-29-238-NS-3|ESTACION LO ESPEJO|-|-|T-29-238-NS-7|-|-|-|22|-|-|-|75|-|-|-|74376|1|1|0|171|11:00:00|-|32|17|-|-|630.4173|22572|316|-|-|-|-|-|-|-|-|630|22572|316|MS_MT_MT|SINBAJADA|-|-|-|-|-|-|-|-|-|-|-|-|-|-|
1|1.4086|1|-|6883.950684|6883.0000|2025-04-26 11:23:10|2025-04-26 11:31:20|22|23|75|75|4|-|-|-|METROTREN|-|-|-|ESTACION LO ESPEJO|ESTACION ALAMEDA|31|16|411|78|4|2025-04-26 11:23:10|-|-|-|2025-04-26 11:31:20|-|-|-|411|-|-|-|78|-|-|-|ESTACION LO ESPEJO|-|-|-|ESTACION ALAMEDA|-|-|-|23|-|-|-|75|-|-|-|74376|2|0|1|171|11:00:00|11:30:00|17|-|-|-|-|-|6883|-|-|-|-|-|-|-|-|0|0|6883|MS_MT_MT|OTROS|-|-|-|-|-|-|-|-|-|-|-|-|-|-|
1|0.0000|1|-|-|0.0000|2025-04-26 13:36:49|-|27|-1|76|-1|4|-|-|-|METROTREN|-|-|-|ESTACION ALAMEDA|-|16|-1|78|-|4|2025-04-26 13:36:49|-|-|-|-|-|-|-|78|-|-|-|-|-|-|-|ESTACION ALAMEDA|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|74376|3|1|0|171|13:30:00|-|17|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0|0|0|MS_MT_MT|SINBAJADA|-|-|-|-|-|-|-|-|-|-|-|-|-|-|
1|1.7331|1|-|6883.950684|6883.0000|2025-04-26 13:38:07|2025-04-26 13:46:17|27|27|76|76|4|-|-|-|METROTREN|-|-|-|ESTACION ALAMEDA|ESTACION LO ESPEJO|16|31|78|411|4|2025-04-26 13:38:07|-|-|-|2025-04-26 13:46:17|-|-|-|78|-|-|-|411|-|-|-|ESTACION ALAMEDA|-|-|-|ESTACION LO ESPEJO|-|-|-|27|-|-|-|76|-|-|-|74376|4|0|1|171|13:30:00|13:30:00|17|-|-|-|-|-|6883|-|-|-|-|-|-|-|-|0|0|6883|UE|HOGAR|-|-|-|-|-|-|-|-|-|-|-|-|-|-|
1|1.5997|1|-|4777.430176|16650.0000|2025-04-26 14:56:02|2025-04-26 15:37:36|29|31|76|77|2|-|-|-|L6|-|-|-|LO VALLEDOR|UNIVERSIDAD DE CHILE|33|34|426|285|2|2025-04-26 14:56:02|-|-|-|2025-04-26 15:37:36|-|-|-|426|-|-|-|285|-|-|-|LO VALLEDOR|-|-|-|UNIVERSIDAD DE CHILE|-|-|-|31|-|-|-|77|-|-|-|77192|1|0|1|171|14:30:00|15:30:00|1|-|-|-|-|-|4777|-|-|-|-|-|-|-|-|0|0|4777|MS_M_M|OTROS|-|-|-|-|-|-|-|-|-|-|-|-|-|-|
