Tipo_dia|Modo|Paradero|Comuna|Media_hora|Subidas_Promedio
LABORAL|Bus|E-10-71-OP-22|PUDAHUEL|0.75|4.0
LABORAL|Bus|E-10-71-OP-22|PUDAHUEL|0.7708333333333334|3.0
LABORAL|Bus|E-10-71-OP-22|PUDAHUEL|0.7916666666666666|3.0
LABORAL|Bus|E-10-71-OP-22|PUDAHUEL|0.8125|5.0
LABORAL|Bus|E-10-71-OP-22|PUDAHUEL|0.8333333333333334|2.0
LABORAL|Bus|E-10-71-OP-22|PUDAHUEL|0.8541666666666666|2.0
LABORAL|Bus|E-10-71-OP-22|PUDAHUEL|0.875|1.0
LABORAL|Bus|E-10-71-OP-22|PUDAHUEL|0.8958333333333334|0.0
LABORAL|Bus|E-10-71-OP-22|PUDAHUEL|0.9166666666666666|1.0
LABORAL|Bus|E-10-71-OP-22|PUDAHUEL|0.9375|0.0
LABORAL|Bus|E-10-71-OP-22|PUDAHUEL|0.9791666666666666|0.0
LABORAL|Bus|E-10-71-OP-4|PUDAHUEL|0.020833333333333332|0.0
LABORAL|Bus|E-10-71-OP-4|PUDAHUEL|0.1875|0.0
LABORAL|Bus|E-10-71-OP-4|PUDAHUEL|0.22916666666666666|4.0
LABORAL|Bus|E-10-71-OP-4|PUDAHUEL|0.25|51.0
LABORAL|Bus|E-10-71-OP-4|PUDAHUEL|0.2708333333333333|157.0
LABORAL|Bus|E-10-71-OP-4|PUDAHUEL|0.2916666666666667|209.0
LABORAL|Bus|E-10-71-OP-4|PUDAHUEL|0.3125|266.0
LABORAL|Bus|E-10-71-OP-4|PUDAHUEL|0.3333333333333333|231.0
LABORAL|Bus|E-10-71-OP-4|PUDAHUEL|0.3541666666666667|215.0
LABORAL|Bus|E-10-71-OP-4|PUDAHUEL|0.375|109.0
LABORAL|Bus|E-10-71-OP-4|PUDAHUEL|0.3958333333333333|108.0
LABORAL|Bus|E-10-71-OP-4|PUDAHUEL|0.4166666666666667|76.0
LABORAL|Bus|E-10-71-OP-4|PUDAHUEL|0.4375|89.0
LABORAL|Bus|E-10-71-OP-4|PUDAHUEL|0.4583333333333333|79.0
LABORAL|Bus|E-10-71-OP-4|PUDAHUEL|0.4791666666666667|98.0
LABORAL|Bus|E-10-71-OP-4|PUDAHUEL|0.5|98.0
LABORAL|Bus|E-10-71-OP-4|PUDAHUEL|0.5208333333333334|113.0
LABORAL|Bus|E-10-71-OP-4|PUDAHUEL|0.5416666666666666|133.0
LABORAL|Bus|E-10-71-OP-4|PUDAHUEL|0.5625|141.0
LABORAL|Bus|E-10-71-OP-4|PUDAHUEL|0.5833333333333334|134.0
LABORAL|Bus|E-10-71-OP-4|PUDAHUEL|0.6041666666666666|128.0
LABORAL|Bus|E-10-71-OP-4|PUDAHUEL|0.625|122.0
LABORAL|Bus|E-10-71-OP-4|PUDAHUEL|0.6458333333333334|132.0
LABORAL|Bus|E-10-71-OP-4|PUDAHUEL|0.6666666666666666|157.0
LABORAL|Bus|E-10-71-OP-4|PUDAHUEL|0.6875|185.0
LABORAL|Bus|E-10-71-OP-4|PUDAHUEL|0.7083333333333334|201.0
LABORAL|Bus|E-10-71-OP-4|PUDAHUEL|0.7291666666666666|248.0
LABORAL|Bus|E-10-71-OP-4|PUDAHUEL|0.75|285.0
LABORAL|Bus|E-10-71-OP-4|PUDAHUEL|0.7708333333333334|286.0
LABORAL|Bus|E-10-71-OP-4|PUDAHUEL|0.7916666666666666|300.0
LABORAL|Bus|E-10-71-OP-4|PUDAHUEL|0.8125|233.0
LABORAL|Bus|E-10-71-OP-4|PUDAHUEL|0.8333333333333334|177.0
LABORAL|Bus|E-10-71-OP-4|PUDAHUEL|0.8541666666666666|114.0
LABORAL|Bus|E-10-71-OP-4|PUDAHUEL|0.875|71.0
LABORAL|Bus|E-10-71-OP-4|PUDAHUEL|0.8958333333333334|65.0
LABORAL|Bus|E-10-71-OP-4|PUDAHUEL|0.9166666666666666|60.0
LABORAL|Bus|E-10-71-OP-4|PUDAHUEL|0.9375|60.0
LABORAL|Bus|E-10-71-OP-4|PUDAHUEL|0.9583333333333334|33.0
LABORAL|Bus|E-10-71-OP-4|PUDAHUEL|0.9791666666666666|5.0
LABORAL|Bus|E-10-71-PO-51|PUDAHUEL|0.041666666666666664|0.0
LABORAL|Bus|E-10-71-PO-51|PUDAHUEL|0.25|0.0
LABORAL|Bus|E-10-71-PO-51|PUDAHUEL|0.2708333333333333|0.0
LABORAL|Bus|E-10-71-PO-51|PUDAHUEL|0.2916666666666667|1.0
LABORAL|Bus|E-10-71-PO-51|PUDAHUEL|0.3125|3.0
LABORAL|Bus|E-10-71-PO-51|PUDAHUEL|0.3333333333333333|3.0
LABORAL|Bus|E-10-71-PO-51|PUDAHUEL|0.3541666666666667|1.0
LABORAL|Bus|E-10-71-PO-51|PUDAHUEL|0.375|1.0
LABORAL|Bus|E-10-71-PO-51|PUDAHUEL|0.3958333333333333|1.0
LABORAL|Bus|E-10-71-PO-51|PUDAHUEL|0.4166666666666667|1.0
LABORAL|Bus|E-10-71-PO-51|PUDAHUEL|0.4375|2.0
LABORAL|Bus|E-10-71-PO-51|PUDAHUEL|0.4583333333333333|1.0
LABORAL|Bus|E-10-71-PO-51|PUDAHUEL|0.4791666666666667|1.0
LABORAL|Bus|E-10-71-PO-51|PUDAHUEL|0.5|4.0
LABORAL|Bus|E-10-71-PO-51|PUDAHUEL|0.5208333333333334|1.0
LABORAL|Bus|E-10-71-PO-51|PUDAHUEL|0.5416666666666666|4.0
LABORAL|Bus|E-10-71-PO-51|PUDAHUEL|0.5625|8.0
LABORAL|Bus|E-10-71-PO-51|PUDAHUEL|0.5833333333333334|5.0
LABORAL|Bus|E-10-71-PO-51|PUDAHUEL|0.6041666666666666|5.0
LABORAL|Bus|E-10-71-PO-51|PUDAHUEL|0.625|4.0
LABORAL|Bus|E-10-71-PO-51|PUDAHUEL|0.6458333333333334|6.0
LABORAL|Bus|E-10-71-PO-51|PUDAHUEL|0.6666666666666666|7.0
LABORAL|Bus|E-10-71-PO-51|PUDAHUEL|0.6875|7.0
LABORAL|Bus|E-10-71-PO-51|PUDAHUEL|0.7083333333333334|6.0
LABORAL|Bus|E-10-71-PO-51|PUDAHUEL|0.7291666666666666|2.0
LABORAL|Bus|E-10-71-PO-51|PUDAHUEL|0.75|6.0
LABORAL|Bus|E-10-71-PO-51|PUDAHUEL|0.7708333333333334|8.0
LABORAL|Bus|E-10-71-PO-51|PUDAHUEL|0.7916666666666666|4.0
LABORAL|Bus|E-10-71-PO-51|PUDAHUEL|0.8125|1.0
LABORAL|Bus|E-10-71-PO-51|PUDAHUEL|0.8333333333333334|2.0
LABORAL|Bus|E-10-71-PO-51|PUDAHUEL|0.8541666666666666|0.0
